Target,Model,R-squared,MAE,MSE,RMSE,Tuning Status
Silver Recovery,Support Vector Machine,0.249197217,0.08773672,0.014539164,0.120578455,Tuned
Silver Recovery,Support Vector Machine,0.249197217,0.08773672,0.014539164,0.120578455,Untuned
Silver Recovery,LightGBM,0.245799584,0.087404692,0.014604958,0.120850976,Tuned
Silver Recovery,Artificial Neural Network,0.245701253,0.089315725,0.014606862,0.120858854,Tuned
Silver Recovery,XGBoost Regressor,0.24178037,0.086546977,0.01468279,0.121172562,Untuned
Silver Recovery,CatBoost,0.240528383,0.086837073,0.014707034,0.121272562,Tuned
Silver Recovery,LightGBM,0.239019796,0.087817305,0.014736248,0.121392948,Untuned
Silver Recovery,XGBoost Regressor,0.234997246,0.087172711,0.014814144,0.121713367,Tuned
Silver Recovery,Linear Regression,0.10113756,0.094683399,0.017406313,0.131932987,Tuned
Silver Recovery,Linear Regression,0.10113756,0.094683399,0.017406313,0.131932987,Untuned
Silver Recovery,Decision Tree Regressor,-0.415547006,0.122718665,0.027411819,0.165565149,Untuned
